"match_id","date","season","home_team","away_team","result","home_goals","away_goals","home_last5_win_pct","away_last5_win_pct","home_form","away_form","home_streak","away_streak","home_avg_goals_scored","away_avg_goals_scored","home_avg_goals_conceded","away_avg_goals_conceded","home_shots_avg","away_shots_avg","home_corners_avg","away_corners_avg","home_cards_avg","away_cards_avg","home_league_position","away_league_position","home_is_favorite","bet_odds_home","bet_odds_draw","bet_odds_away"
"20200919-Alcorcon-Tenerife",2020-09-19,"20_21","Alcorcon","Tenerife","H",2,0,0,0.5,1,3,0,1,0,2,0,0,6,10,3,1,1,2,11,4,1,2.45,3,3.1
"20200919-Mirandes-Oviedo",2020-09-19,"20_21","Mirandes","Oviedo","D",1,1,0,0,1,1,0,0,0,0,0,0,8,16,5,7,3,2,10,9,1,2.6,2.9,3
"20200919-Castellon-Malaga",2020-09-19,"20_21","Castellon","Malaga","A",0,1,0.5,0,3,0,1,0,2,0,1,2,9,6,5,2,0,3,5,21,1,2.3,2.75,3.75
"20200920-Lugo-Leganes",2020-09-20,"20_21","Lugo","Leganes","H",2,1,0,0.5,0,3,0,1,0,1,2,0,4,12,0,2,3,2,21,5,0,3.75,3,2.05
"20200920-Espanol-Mallorca",2020-09-20,"20_21","Espanol","Mallorca","D",0,0,0.5,0,3,0,1,0,3,0,0,1,19,7,8,6,0,1,3,19,1,1.7,3.3,5
"20200920-Albacete-Ponferradina",2020-09-20,"20_21","Albacete","Ponferradina","A",0,2,0,0,0,0,0,0,0,1,3,2,7,10,5,3,2,0,22,18,1,2.15,2.9,3.4
"20200920-Cartagena-SpGijon",2020-09-20,"20_21","Cartagena","Sp Gijon","A",0,1,0,0.5,1,3,0,1,0,1,0,0,7,15,3,7,4,1,14,6,0,2.75,2.87,2.62
"20200920-LasPalmas-Fuenlabrada",2020-09-20,"20_21","Las Palmas","Fuenlabrada","D",3,3,0,0.5,0,3,0,1,0,2,1,0,9,8,2,3,5,1,20,5,1,2.3,3,3.4
"20200926-Malaga-Alcorcon",2020-09-26,"20_21","Malaga","Alcorcon","H",1,0,0.333333333333333,0.333333333333333,1.5,2,1,1,0.5,1,1,0,6.5,7.5,2.5,3,5,0.5,11,5,1,2.55,2.9,3.1
"20200926-Logrones-Castellon",2020-09-26,"20_21","Logrones","Castellon","D",1,1,0,0.333333333333333,0,1.5,0,0,0,1,1,1,3,8.5,2,4,1,1.5,20,9,1,2.45,2.8,3.3
"20200926-Fuenlabrada-Albacete",2020-09-26,"20_21","Fuenlabrada","Albacete","H",1,0,0.333333333333333,0,2,0,0,0,2.5,0,1.5,2.5,11.5,7.5,4,4,2,3.5,4,22,1,1.9,3,4.75
"20200927-Mallorca-Sabadell",2020-09-27,"20_21","Mallorca","Sabadell","H",1,0,0,0,0.5,0,0,0,0,1,0.5,2,7,7,4,1,1.5,3,18,20,1,1.7,3.3,5.5
"20200927-Oviedo-Espanol",2020-09-27,"20_21","Oviedo","Espanol","A",0,2,0,0.333333333333333,1,2,0,0,0.5,1.5,0.5,0,11,14,4.5,5.5,2.5,2,14,5,0,4.2,3,2.05
"20200927-Ponferradina-Vallecano",2020-09-27,"20_21","Ponferradina","Vallecano","H",3,0,0.333333333333333,0.666666666666667,1.5,3,1,2,1.5,1.5,1,0.5,12,12,3,5,1,2.5,10,4,0,3.2,2.9,2.45
"20200927-Tenerife-Mirandes",2020-09-27,"20_21","Tenerife","Mirandes","A",1,2,0.333333333333333,0,1.5,1,0,0,1,0.5,1,0.5,10,10.5,2.5,4.5,2.5,3,12,14,1,1.9,3.1,4.5
"20200927-Leganes-Cartagena",2020-09-27,"20_21","Leganes","Cartagena","H",3,1,0.333333333333333,0,1.5,0.5,0,0,1,0,1,0.5,12.5,8.5,3,3.5,2,4,12,19,1,1.8,3.25,5
"20201003-Alcorcon-Zaragoza",2020-10-03,"20_21","Alcorcon","Zaragoza","D",0,0,0.25,0,1.33333333333333,1,0,0,0.666666666666667,2,0.333333333333333,2,6.66666666666667,7,2,6,1.33333333333333,7,9,17,1,2.6,2.8,3.1
"20201003-Mirandes-Ponferradina",2020-10-03,"20_21","Mirandes","Ponferradina","A",0,1,0.25,0.5,1.66666666666667,2,1,2,1,2,0.666666666666667,0.666666666666667,10,10.3333333333333,5.66666666666667,2.66666666666667,2.66666666666667,1,8,4,1,2.5,2.75,3.3
"20201003-Albacete-Oviedo",2020-10-03,"20_21","Albacete","Oviedo","D",1,1,0,0,0,0.666666666666667,0,0,0,0.333333333333333,2,1,6.33333333333333,9.66666666666667,4,5.33333333333333,3.33333333333333,2.33333333333333,22,17,1,2.45,2.8,3.3
"20201003-Mallorca-Tenerife",2020-10-03,"20_21","Mallorca","Tenerife","H",2,0,0.25,0.25,1.33333333333333,1,1,0,0.333333333333333,1,0.333333333333333,1.33333333333333,10,10,4.66666666666667,2.33333333333333,1.33333333333333,3,11,13,1,1.95,3,4.5
"20201003-LasPalmas-Logrones",2020-10-03,"20_21","Las Palmas","Logrones","H",2,1,0,0,0.666666666666667,0.5,0,0,1.66666666666667,0.5,2,1,10.3333333333333,10,2,7,5,0.5,17,18,1,1.85,3.2,4.75
"20201003-Vallecano-Malaga",2020-10-03,"20_21","Vallecano","Malaga","H",4,0,0.5,0.5,2,2,0,2,1,0.666666666666667,1.33333333333333,0.666666666666667,11.3333333333333,7,6,2.66666666666667,2.66666666666667,3.66666666666667,8,7,1,1.83,3.25,4.75
"20201004-Almeria-SpGijon",2020-10-04,"20_21","Almeria","Sp Gijon","A",0,1,0.5,0.75,3,3,1,3,2,1.33333333333333,0,0,10,11.6666666666667,2,5.66666666666667,5,1.66666666666667,14,4,1,2.15,3.1,3.6
"20201004-Girona-Fuenlabrada",2020-10-04,"20_21","Girona","Fuenlabrada","A",0,1,0,0.5,0,2.33333333333333,0,1,0,2,2,1,23,12,11,4.33333333333333,3,2,21,5,1,2.1,2.9,4
"20201004-Castellon-Leganes",2020-10-04,"20_21","Castellon","Leganes","H",2,0,0.25,0.5,1.33333333333333,2,0,1,1,1.66666666666667,1,1,7.33333333333333,13,3.33333333333333,2.66666666666667,2.33333333333333,2.66666666666667,12,7,0,3.5,2.9,2.3
"20201004-Cartagena-Lugo",2020-10-04,"20_21","Cartagena","Lugo","H",2,1,0,0.25,0.333333333333333,1,0,0,0.333333333333333,0.666666666666667,1.33333333333333,1.66666666666667,9.33333333333333,7,3.66666666666667,4,3.33333333333333,2,19,16,1,2.6,2.9,3
"20201004-Sabadell-Espanol",2020-10-04,"20_21","Sabadell","Espanol","A",0,1,0,0.5,0,2.33333333333333,0,1,0.5,1.66666666666667,1.5,0,9.5,11,1.5,5,4,1.33333333333333,21,4,0,5.25,3.1,1.8
"20201010-Sabadell-Mirandes",2020-10-10,"20_21","Sabadell","Mirandes","A",0,2,0,0.2,0,1.25,0,0,0.333333333333333,0.75,1.33333333333333,0.75,8.66666666666667,9,3.33333333333333,5,3,2.75,21,12,0,3.2,2.8,2.5
"20201010-Espanol-Alcorcon",2020-10-10,"20_21","Espanol","Alcorcon","H",1,0,0.6,0.2,2.5,1.25,2,0,1.5,0.5,0,0.25,12,6.75,5,3.25,1.5,1.25,2,11,1,1.55,3.8,6
"20201010-Logrones-Almeria",2020-10-10,"20_21","Logrones","Almeria","H",1,0,0,0.333333333333333,0.333333333333333,1.5,0,0,0.666666666666667,1,1.33333333333333,0.5,9,10.5,6,5.5,0.666666666666667,2.5,19,14,0,3,2.9,2.6
"20201010-Tenerife-Vallecano",2020-10-10,"20_21","Tenerife","Vallecano","H",1,0,0.2,0.6,0.75,2.25,0,1,0.75,1.75,1.5,1,12,11.75,2.75,6.5,2.75,2.25,17,5,1,2.75,2.8,2.9
"20201011-Fuenlabrada-Castellon",2020-10-11,"20_21","Fuenlabrada","Castellon","D",1,1,0.6,0.4,2.5,1.75,2,1,1.75,1.25,0.75,0.75,11.25,7.5,4,3.75,2.75,2.25,3,7,1,1.95,3,4.5
"20201011-Lugo-Mallorca",2020-10-11,"20_21","Lugo","Mallorca","A",0,1,0.2,0.4,0.75,1.75,0,2,0.75,0.75,1.75,0.25,8,9.5,5,4.25,2.75,1.25,18,8,0,3.25,2.9,2.4
"20201011-Leganes-Girona",2020-10-11,"20_21","Leganes","Girona","A",0,1,0.4,0,1.5,0,0,0,1.25,0,1.25,1.5,13.5,14.5,4.5,8.5,2.25,3.5,9,21,1,2.1,2.9,4
"20201011-Malaga-LasPalmas",2020-10-11,"20_21","Malaga","Las Palmas","D",0,0,0.4,0.2,1.5,1.25,0,1,0.5,1.75,1.5,1.75,7,10.25,2.5,3.25,3,4.75,11,12,1,2.5,3,3
"20201011-Zaragoza-Albacete",2020-10-11,"20_21","Zaragoza","Albacete","H",1,0,0,0,1,0.25,0,0,1,0.25,1,1.75,9.5,7.5,6.5,4.75,4.5,3.75,20,21,1,1.95,3.1,4.33
"20201011-Ponferradina-Cartagena",2020-10-11,"20_21","Ponferradina","Cartagena","A",0,2,0.6,0.2,2.25,1,3,1,1.75,0.75,0.5,1.25,10.25,9.75,3.25,3.5,1.25,3.25,5,16,0,2.8,2.87,2.8
"20201011-Oviedo-SpGijon",2020-10-11,"20_21","Oviedo","Sp Gijon","H",1,0,0,0.8,0.75,3,0,4,0.5,1.25,1,0,8.5,9.75,4.5,4.75,3.5,2.75,18,2,0,3.2,2.8,2.5
"20201017-Castellon-Lugo",2020-10-17,"20_21","Castellon","Lugo","A",0,1,0.4,0.2,1.6,0.6,0,0,1.2,0.6,0.8,1.6,8.4,7,4.8,4.4,2.4,3.8,9,21,1,2.15,2.87,4
"20201017-LasPalmas-Almeria",2020-10-17,"20_21","Las Palmas","Almeria","H",2,0,0.2,0.25,1.2,1,0,0,1.4,0.666666666666667,1.4,0.666666666666667,10.4,8.33333333333333,2.6,5,4.4,2.66666666666667,12,18,1,2.55,2.87,3.1
"20201017-Albacete-Sabadell",2020-10-17,"20_21","Albacete","Sabadell","H",3,0,0,0,0.2,0,0,0,0.2,0.25,1.6,1.5,7.4,8,5.4,4,3.4,2.75,21,22,1,2.3,3,3.4
"20201017-Logrones-Leganes",2020-10-17,"20_21","Logrones","Leganes","A",0,1,0.2,0.4,1,1.2,1,0,0.75,1,1,1.2,8.25,13.8,6.25,5.2,0.5,2.8,17,12,0,3.4,2.8,2.45
"20201017-Cartagena-Fuenlabrada",2020-10-17,"20_21","Cartagena","Fuenlabrada","D",1,1,0.4,0.6,1.4,2.2,2,0,1,1.6,1,0.8,10,11.4,4.2,4.2,3.4,2.8,10,3,1,2.75,2.8,2.87
"20201018-Vallecano-Espanol",2020-10-18,"20_21","Vallecano","Espanol","H",1,0,0.6,0.8,1.8,2.6,0,3,1.4,1.4,1,0,11.8,12.2,6.8,5.2,2.2,1.2,7,1,0,2.9,3,2.55
"20201018-Mirandes-Mallorca",2020-10-18,"20_21","Mirandes","Mallorca","D",0,0,0.4,0.6,1.6,2,1,3,1,0.8,0.6,0.2,9,9.4,5.4,4,2.2,1.8,9,5,1,2.62,2.87,2.87
"20201018-Zaragoza-Malaga",2020-10-18,"20_21","Zaragoza","Malaga","A",1,2,0.25,0.4,1.66666666666667,1.4,1,0,1,0.4,0.666666666666667,1.2,10.3333333333333,8,7,3,4,3,16,12,1,1.95,3,4.33
"20201018-Girona-Oviedo",2020-10-18,"20_21","Girona","Oviedo","H",1,0,0.25,0.2,1,1.2,1,1,0.333333333333333,0.6,1,0.8,12.6666666666667,9.2,6.66666666666667,4,4,3.2,21,13,1,2.05,3.1,4
"20201018-SpGijon-Tenerife",2020-10-18,"20_21","Sp Gijon","Tenerife","D",1,1,0.8,0.4,2.4,1.2,0,1,1,0.8,0.2,1.2,10,10.4,4.2,2.4,2.6,2.4,3,14,1,2.2,3,3.6
"20201021-Espanol-Mirandes",2020-10-21,"20_21","Espanol","Mirandes","H",2,0,0.6,0.4,2,1.6,0,0,0.8,1,0.2,0.6,9,9.4,4.6,5.4,2,2,1,9,1,1.53,4,6
"20201021-LasPalmas-Castellon",2020-10-21,"20_21","Las Palmas","Castellon","H",2,1,0.4,0.2,1.8,1,1,0,1.8,0.8,1.2,0.8,10.4,8.2,3,5.2,4,2.8,8,11,1,2.1,3.1,4
"20201021-Lugo-Girona",2020-10-21,"20_21","Lugo","Girona","H",3,0,0.4,0.4,1.2,1.5,1,2,0.8,0.5,1.2,0.75,8.6,12.25,4.8,6.25,3.8,3.5,16,14,0,3,3.1,2.45
"20201021-Ponferradina-Tenerife",2020-10-21,"20_21","Ponferradina","Tenerife","H",1,0,0.6,0.2,1.8,0.8,0,0,1.4,0.6,0.8,1.4,9.8,10.4,3.2,3.2,1.6,2.6,8,14,1,2.75,2.9,2.8
"20201021-Almeria-Cartagena",2020-10-21,"20_21","Almeria","Cartagena","D",1,1,0.2,0.4,0.75,1.4,0,0,0.5,1.2,1,1.2,8.25,10,4.25,4.4,2.75,3.2,21,13,1,2.05,3,4
"20201021-Fuenlabrada-Logrones",2020-10-21,"20_21","Fuenlabrada","Logrones","D",0,0,0.4,0.2,1.8,0.8,0,0,1.4,0.6,1,1,12.4,9.2,4.4,6.4,3.6,0.6,3,19,1,2,3,4.2
"20201022-Mallorca-Albacete",2020-10-22,"20_21","Mallorca","Albacete","D",0,0,0.6,0.2,2.2,0.8,0,1,0.8,0.8,0,1,9.2,8,3.8,5,2.8,3.2,8,21,1,2.05,3.1,4
"20201022-Leganes-Zaragoza",2020-10-22,"20_21","Leganes","Zaragoza","H",1,0,0.4,0.2,1.2,1.25,1,0,1,1,1.2,1,13.2,11,5.6,6.25,3,3.25,10,17,1,2.3,3,3.4
"20201022-Malaga-SpGijon",2020-10-22,"20_21","Malaga","Sp Gijon","H",1,0,0.6,0.6,2,2,1,0,0.8,1,1,0.4,7.6,8,2.8,3.2,2.8,2.6,8,3,1,2.62,2.9,2.9
"20201022-Oviedo-Vallecano",2020-10-22,"20_21","Oviedo","Vallecano","D",0,0,0.2,0.6,1,1.8,0,1,0.6,1.4,1,1,8,11.8,3,7,3,2.6,15,7,0,3,3,2.5
"20201024-Cartagena-LasPalmas",2020-10-24,"20_21","Cartagena","Las Palmas","H",3,0,0.4,0.6,1.6,2.2,0,2,1.4,1.6,1.2,0.8,10.6,9.6,4.4,2.8,2.6,3.2,11,7,1,2.3,3,3.4
"20201024-Logrones-Lugo",2020-10-24,"20_21","Logrones","Lugo","A",2,3,0.2,0.4,1,1.2,0,2,0.6,1,0.8,1,10.2,8.6,6.4,4.6,1.6,4.2,20,12,1,2.7,2.8,3
"20201024-Almeria-Fuenlabrada",2020-10-24,"20_21","Almeria","Fuenlabrada","H",3,0,0.2,0.4,0.8,1.8,0,0,0.6,0.8,1,0.4,9.6,11.2,3.6,3.6,2.8,3.4,21,2,1,2.3,2.9,3.5
"20201024-Castellon-Girona",2020-10-24,"20_21","Castellon","Girona","A",0,1,0.2,0.4,1,1.2,0,0,1,0.4,1,1.2,8,11,6,5.4,2.4,3.2,13,16,0,2.87,2.87,2.7
"20201025-SpGijon-Ponferradina",2020-10-25,"20_21","Sp Gijon","Ponferradina","H",2,1,0.4,0.8,1.4,2.4,0,1,0.8,1.4,0.6,0.4,7.2,9.8,3.2,3,2.8,2.8,3,6,1,2.25,2.75,3.75
"20201025-Leganes-Oviedo",2020-10-25,"20_21","Leganes","Oviedo","H",2,1,0.6,0.2,1.8,1,2,0,1,0.4,0.8,0.8,12.6,7.6,6.6,3.2,3.2,3.2,9,16,1,1.85,3,5
"20201025-Tenerife-Espanol",2020-10-25,"20_21","Tenerife","Espanol","D",0,0,0.2,0.8,0.8,2.4,0,1,0.6,1.2,1.2,0.2,10.4,9.4,2.8,4.4,3.4,1.4,16,1,0,3.1,2.9,2.5
