team,lat,lon
Mirandes,42.6861111,-2.9472222
Alcorcon,40.3458333,-3.8244444
Castellon,39.9961,-0.0386
Lugo,43.0034,-7.571
Espanol,41.3478,2.0756
Albacete,38.997579,-1.8637986
Cartagena,37.6096,-0.9961
Las Palmas,29.1172058,-13.6501792
Logrones,42.4666667,-3.8244444
Malaga,37.0171996,-4.5571607
Fuenlabrada,40.28419,-3.79415
Mallorca,39.589935,2.6301158
Oviedo,43.3597487,-5.8612655
Ponferradina,42.543951,-6.5
Tenerife,28.446217,-16.3070004
Leganes,40.3259427,-3.7586217
Vallecano,40.39354,-3.662
Girona,41.9794005,2.8214264
Sabadell,41.5547246,2.0919114
Almeria,36.8468394,-2.4613467
Zaragoza,41.6560611,-0.87734
Sp Gijon,43.53573,-5.66152
Valladolid,41.6393752,-4.7372067
Ibiza,38.90883,1.43296
Eibar,43.1828323,-2.4731881
Huesca,42.1405985,-0.4060183
Amorebieta,43.2204692,-2.733068
Burgos,42.3443866,-3.678387
Sociedad B,43.301391,-1.973604
Villarreal B,39.944167,-0.103611
Alaves,42.836944,-2.687778
Granada,37.152967,-3.595736
Levante,39.494722,-0.364167
Santander,43.4763,-3.7935
Andorra,40.9782441,-0.4512734
Elche,38.266944,-0.663333
Ferrol,43.4843754,-8.2329522
Eldense,38.467361,-0.796028
Cordoba,37.89155,-4.77275
Cadiz,36.50278,-6.27306
La Coruna,43.368714,-8.417516
