team,season_id,market_millions
Mirandes,20_21,11.0
Alcorcon,20_21,3.0
Castellon,20_21,8.0
Lugo,20_21,5.0
Espanol,20_21,50.0
Albacete,20_21,6.0
Cartagena,20_21,10.0
Las Palmas,20_21,20.0
Logrones,20_21,7.0
Malaga,20_21,16.0
Fuenlabrada,20_21,4.0
Mallorca,20_21,35.0
Oviedo,20_21,14.0
Ponferradina,20_21,12.0
Tenerife,20_21,15.0
Leganes,20_21,30.0
Vallecano,20_21,13.0
Girona,20_21,25.0
Sabadell,20_21,9.0
Almeria,20_21,28.0
Zaragoza,20_21,22.0
Sp Gijon,20_21,18.0
Ponferradina,21_22,11.0
Oviedo,21_22,31.4
Fuenlabrada,21_22,8.0
Malaga,21_22,18.0
Cartagena,21_22,12.0
Valladolid,21_22,50.0
Almeria,21_22,57.5
Lugo,21_22,13.0
Tenerife,21_22,16.0
Alcorcon,21_22,7.0
Ibiza,21_22,9.0
Eibar,21_22,45.0
Girona,21_22,40.0
Huesca,21_22,14.7
Mirandes,21_22,22.05
Leganes,21_22,38.0
Las Palmas,21_22,20.0
Sp Gijon,21_22,15.0
Amorebieta,21_22,6.0
Burgos,21_22,10.0
Sociedad B,21_22,5.0
Zaragoza,21_22,22.0
Eibar,22_23,19.5
Mirandes,22_23,14.2
Las Palmas,22_23,30.23
Burgos,22_23,23.8
Lugo,22_23,6.0
Cartagena,22_23,10.9
Villarreal B,22_23,12.5
Alaves,22_23,73.0
Sp Gijon,22_23,27.6
Albacete,22_23,12.0
Zaragoza,22_23,30.6
Granada,22_23,42.0
Huesca,22_23,14.7
Tenerife,22_23,14.3
Oviedo,22_23,31.4
Ponferradina,22_23,5.0
Malaga,22_23,11.9
Levante,22_23,30.0
Santander,22_23,37.3
Ibiza,22_23,4.25
Leganes,22_23,40.4
Andorra,22_23,6.35
Amorebieta,23_24,9.0
Valladolid,23_24,50.9
Santander,23_24,19.0
Zaragoza,23_24,33.0
Burgos,23_24,23.0
Albacete,23_24,17.0
Leganes,23_24,44.0
Mirandes,23_24,21.0
Tenerife,23_24,27.0
Andorra,23_24,11.0
Eibar,23_24,35.0
Espanol,23_24,57.43
Levante,23_24,40.0
Alcorcon,23_24,3.0
Oviedo,23_24,31.0
Sp Gijon,23_24,25.0
Villarreal B,23_24,13.0
Huesca,23_24,15.0
Cartagena,23_24,29.0
Elche,23_24,38.0
Ferrol,23_24,7.0
Eldense,23_24,5.0
Granada,24_25,33.3
Ferrol,24_25,10.9
Eibar,24_25,19.5
Santander,24_25,37.3
Sp Gijon,24_25,27.6
Burgos,24_25,23.8
Elche,24_25,34.3
Eldense,24_25,12.95
Huesca,24_25,14.7
Malaga,24_25,11.9
Tenerife,24_25,14.3
Levante,24_25,24.4
Albacete,24_25,12.0
Castellon,24_25,14.3
Cartagena,24_25,11.3
Cordoba,24_25,11.8
Oviedo,24_25,31.4
Cadiz,24_25,24.0
Almeria,24_25,57.5
La Coruna,24_25,23.4
Mirandes,24_25,14.2
Zaragoza,24_25,30.6
