epoch,total_loss,bce,kl
1,9413812.5859375,7991077.095703125,1422735.4729700089
2,6891471.90625,5282964.919921875,1608506.9855957031
3,6601152.2939453125,5002105.46484375,1599046.837890625
4,6459594.8583984375,4869196.306152344,1590398.5515136719
5,6379164.130859375,4792250.406738281,1586913.7312011719
6,6321127.90234375,4739553.959472656,1581573.9523925781
7,6278665.8779296875,4698600.515625,1580065.3576660156
8,6248104.162109375,4671095.12109375,1577009.0505371094
9,6216663.9462890625,4642113.3974609375,1574550.5419921875
10,6193350.2060546875,4621954.479003906,1571395.7255859375
11,6169109.599609375,4600374.4599609375,1568735.1372070312
12,6146208.640625,4582658.0068359375,1563550.6381835938
13,6131581.705078125,4569369.360839844,1562212.3356933594
14,6113539.642578125,4555308.3603515625,1558231.2805175781
15,6099954.736328125,4544228.0546875,1555726.68359375
16,6084502.3388671875,4531827.694824219,1552674.6501464844
17,6072833.1103515625,4523896.5908203125,1548936.5278320312
18,6063811.3466796875,4513757.287597656,1550054.0627441406
19,6049997.6708984375,4504692.671386719,1545305.0053710938
20,6040809.8623046875,4498008.228027344,1542801.6337890625
