epoch,total_loss,bce,commitment,perplexity
1,8616875.649414062,8611307.250976562,5568.410250740242,5.715242446612701
2,5826751.1044921875,5757731.923828125,69019.1796798706,19.14203339599089
3,5211746.3193359375,5092837.1884765625,118909.13920593262,33.41762225917662
4,5082095.675292969,4904188.5,177907.18212890625,36.41876686763153
5,5065502.89453125,4801458.604980469,264044.2886352539,36.90282802134435
6,5077483.826171875,4707827.716796875,369656.10919189453,36.79554730641054
7,5136254.3203125,4645507.7587890625,490746.5672607422,36.3946861315892
8,5196301.65234375,4587378.706542969,608922.9516601562,35.82236620612236
9,5241829.7763671875,4529236.200683594,712593.5856933594,34.02749554485654
10,5255993.044921875,4463617.931152344,792375.1224365234,29.827805321862193
11,5248372.0322265625,4403536.0048828125,844836.0239257812,28.42849349568902
12,5212047.34375,4342531.4755859375,869515.8637695312,27.430776844146664
13,5164742.9990234375,4287973.6572265625,876769.328125,26.516920252395337
14,5115849.9892578125,4240007.976074219,875842.0119628906,25.61255752709883
15,5052987.9736328125,4186245.67578125,866742.3038330078,24.684878786489655
16,5000236.7060546875,4142659.3486328125,857577.3659667969,24.251299986198767
17,4961725.599609375,4108750.2568359375,852975.3385009766,23.861112399396102
18,4935346.3505859375,4084533.7314453125,850812.6258544922,23.412574564724334
19,4900506.6240234375,4056225.501953125,844281.1145019531,22.948992853225676
20,4858918.439941406,4028562.0751953125,830356.3631591797,22.557317953374085
